Preference,Region,Places.Available,Description,ENT,CTX,GSX,OMFS,PAED,PLA,TO,URO,VAS,BRE,ICM
East Midlands - North - CT1 - Aug - 1,Health Education England East Midlands,1,ENT1 Theme - ENT; August 23 (4 months) Lincoln - General Surgery/December 23 (4 months) Nottingham - Plastic Surgery/April 24 (4 months) Lincoln - ENT /August 24 (12 months) Derby - ENT,1,0,1,0,0,1,0,0,0,0,0
East Midlands - North - CT1 - Aug - 10,Health Education England East Midlands,1,GENERAL6 Theme - GENERAL SURGERY; August 23 (4 months) Chesterfield - General Surgery /December 23 (4 months)  Derby - General Surgery /April 24 (4 months)  Derby - General Surgery /August 24 (12 months) Nottingham - General Surgery,0,0,1,0,0,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 11,Health Education England East Midlands,1,PAEDS1 Theme - PAEDIATRIC SURGERY; August 23 (6 months) Nottingham - Paediatric Surgery /February 23 (6 months)  Lincoln - General Surgery/August 24 (12 months)  Nottingham - Paediatric Surgery,0,0,1,0,1,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 12,Health Education England East Midlands,1,PAEDS2 Theme - PAEDIATRIC SURGERY; August 23 (6 months) Lincoln - General Surgery /February 23 (6 months)  Nottingham - Paediatric Surgery/August 24 (12 months) Nottingham - Paediatric Surgery,0,0,1,0,1,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 13,Health Education England East Midlands,1,PLASTICS1 Theme - PLASTIC SURGERY; August 23 (4 months) Nottingham - T & O /December 23 (4 months)  Nottingham - Cardiothoracic/April 24 (4 months) Nottingham - Plastic Surgery/August 24 (12 months)  Nottingham - Plastic Surgery,0,1,0,0,0,1,1,0,0,0,0
East Midlands - North - CT1 - Aug - 14,Health Education England East Midlands,1,T&O1 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Derby - T&O /December 23 (4 months)  Derby - General Surgery/April 24 (4 months)  Nottingham - Plastic Surgery/August 24 (12 months) Derby  - T & O,0,0,1,0,0,1,1,0,0,0,0
East Midlands - North - CT1 - Aug - 15,Health Education England East Midlands,1,T&O2 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Nottingham  - Plastic Surgery /December 23 (4 months) Derby - T&O /April 24 (4 months)  Kings Mill - General Surgery/August 24 (12 months) Derby - T&O,0,0,1,0,0,1,1,0,0,0,0
East Midlands - North - CT1 - Aug - 16,Health Education England East Midlands,1,T&O3 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Kings Mill - General Surgery /December 23 (4 months)  Kings Mill - T & O/April 24 (4 months)  Nottingham - Plastic Surgery /August 24 (12 months) Nottingham  - T & O,0,0,1,0,0,1,1,0,0,0,0
East Midlands - North - CT1 - Aug - 17,Health Education England East Midlands,1,T&O4 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Kings Mill - T&O /December 23 (4 months)  Kings Mill - General Surgery/April 24 (4 months)  Nottingham - T&O/August 24 (12 months) Derby  - T & O,0,0,1,0,0,0,1,0,0,0,0
East Midlands - North - CT1 - Aug - 18,Health Education England East Midlands,1,T&O5 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Nottingham - T&O /December 23 (4 months)  Nottingham - T&O/April 24 (4 months)  Kings Mill - General Surgery/August 24 (12 months) Nottingham  - T & O,0,0,1,0,0,0,1,0,0,0,0
East Midlands - North - CT1 - Aug - 19,Health Education England East Midlands,1,T&O6 Theme - TRAUMA AND ORTHOPAEDICS; August 23 (4 months) Kings Mill - T&O /December 23 (4 months)  Kings Mill - General Surgery /April 24 (4 months)  Kings Mill - T&O /August 24 (12 months) Nottingham  - T & O,0,0,1,0,0,0,1,0,0,0,0
East Midlands - North - CT1 - Aug - 2,Health Education England East Midlands,1,ENT2 Theme - ENT; August 23 (4 months) Lincoln - ENT /December 23 (4 months)  Lincoln - General Surgery/April 24 (4 months) Derby - Max Fax/August 24 (12 months) Nottingham - ENT,1,0,1,1,0,0,0,0,0,0,0
East Midlands - North - CT1 - Aug - 20,Health Education England East Midlands,1,UROLOGY1 Theme - UROLOGY; August 23 (6 months) Nottingham - Urology /February 24 (6 months) Derby - General Surgery/ August 24 (12 months) Derby - Urology,0,0,1,0,0,0,0,1,0,0,0
East Midlands - North - CT1 - Aug - 21,Health Education England East Midlands,1,UROLOGY2 Theme - UROLOGY; August 23 (6 months) Derby - General Surgery /February 24 (6 months) Nottingham - Urology/ August 24 (12 months) Nottingham - Urology,0,0,1,0,0,0,0,1,0,0,0
East Midlands - North - CT1 - Aug - 22,Health Education England East Midlands,1,MAXFAX1 Theme - MAX FAX; August 23 (4 months) Kings Mill - T&O /December 23 (4 months)  Derby - Max Fax/April 24 (4 months) Chesterfield - General Surgery /August 24 ( 4 months) Chesterfield - General Surgery /December 24 (4 months) Chesterfield - General Surgery/April 25 (4 months) Derby - Max Fax,0,0,1,1,0,0,1,0,0,0,0
East Midlands - North - CT1 - Aug - 3,Health Education England East Midlands,1,ENT3 Theme - ENT; August 23 (4 months) Nottingham - Plastic Surgery/December 23 (4 months) Lincoln - ENT/April 24 (4 months) Lincoln - General Surgery/Aug 24 (12 months) Nottingham - ENT,1,0,1,0,0,1,0,0,0,0,0
