"","regions","lon","lat"
"1","Health Education England East Midlands",-1.1424787,52.6329572
"2","Health Education England East of England",-0.4473233,53.771094
"3","Health Education England Kent, Surrey and Sussex",1.3003577,51.3755088
"4","Health Education England London",-0.1282782,51.5219439
"5","Health Education England North East",-0.4473233,53.771094
"6","Health Education England North West",-2.2326801,53.4776651
"7","Scotland",-4.2026458,56.4906712
"8","Health Education England South West",-3.999461,50.7772135
"9","Health Education England Thames Valley",-1.2092769,51.7293005
"10","Wales",-3.7837117,52.1306607
"11","Health Education England Wessex",-0.4473233,53.771094
"12","Health Education England West Midlands",-1.9005835,52.4788528
"13","Health Education England Yorkshire and the Humber",-0.4473233,53.771094
